,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
59,"frozenset({'The Blacklist', 'Family Guy'})",frozenset({'Ozark'}),0.3333333333333333,0.7380952380952381,0.2857142857142857,0.8571428571428571,1.161290322580645,0.03968253968253965,1.8333333333333324,0.20833333333333315
73,frozenset({'Ozark'}),frozenset({'Demon Slayer'}),0.7380952380952381,0.47619047619047616,0.2857142857142857,0.3870967741935483,0.8129032258064515,-0.06575963718820865,0.8546365914786966,-0.4677419354838712
64,frozenset({'Deception'}),frozenset({'The Mentalist'}),0.47619047619047616,0.42857142857142855,0.2857142857142857,0.6,1.4000000000000001,0.0816326530612245,1.4285714285714284,0.5454545454545455
72,frozenset({'Demon Slayer'}),frozenset({'Ozark'}),0.47619047619047616,0.7380952380952381,0.2857142857142857,0.6,0.8129032258064516,-0.06575963718820865,0.6547619047619047,-0.305263157894737
56,frozenset({'Atypical'}),frozenset({'Stranger Things'}),0.5714285714285714,0.38095238095238093,0.2857142857142857,0.5,1.3125,0.06802721088435376,1.2380952380952381,0.5555555555555557
57,frozenset({'Stranger Things'}),frozenset({'Atypical'}),0.38095238095238093,0.5714285714285714,0.2857142857142857,0.75,1.3125,0.06802721088435376,1.7142857142857144,0.38461538461538475
60,"frozenset({'Ozark', 'Family Guy'})",frozenset({'The Blacklist'}),0.38095238095238093,0.6428571428571429,0.2857142857142857,0.75,1.1666666666666665,0.040816326530612235,1.4285714285714284,0.2307692307692307
61,frozenset({'The Blacklist'}),"frozenset({'Ozark', 'Family Guy'})",0.6428571428571429,0.38095238095238093,0.2857142857142857,0.44444444444444436,1.1666666666666665,0.040816326530612235,1.1142857142857143,0.4
62,frozenset({'Ozark'}),"frozenset({'The Blacklist', 'Family Guy'})",0.7380952380952381,0.3333333333333333,0.2857142857142857,0.3870967741935483,1.161290322580645,0.03968253968253965,1.0877192982456139,0.53030303030303
63,frozenset({'Family Guy'}),"frozenset({'The Blacklist', 'Ozark'})",0.4523809523809524,0.5,0.2857142857142857,0.631578947368421,1.263157894736842,0.05952380952380951,1.357142857142857,0.3804347826086955
58,"frozenset({'The Blacklist', 'Ozark'})",frozenset({'Family Guy'}),0.5,0.4523809523809524,0.2857142857142857,0.5714285714285714,1.263157894736842,0.05952380952380951,1.277777777777778,0.4166666666666666
65,frozenset({'The Mentalist'}),frozenset({'Deception'}),0.42857142857142855,0.47619047619047616,0.2857142857142857,0.6666666666666666,1.4,0.0816326530612245,1.5714285714285714,0.5000000000000001
67,frozenset({'Deception'}),frozenset({'The Blacklist'}),0.47619047619047616,0.6428571428571429,0.2857142857142857,0.6,0.9333333333333332,-0.020408163265306145,0.8928571428571427,-0.12000000000000012
68,frozenset({'Family Guy'}),frozenset({'Deception'}),0.4523809523809524,0.47619047619047616,0.2857142857142857,0.631578947368421,1.3263157894736841,0.07029478458049887,1.4217687074829932,0.4492753623188406
69,frozenset({'Deception'}),frozenset({'Family Guy'}),0.47619047619047616,0.4523809523809524,0.2857142857142857,0.6,1.3263157894736841,0.07029478458049887,1.369047619047619,0.4696969696969697
70,frozenset({'Daredevil'}),frozenset({'Demon Slayer'}),0.38095238095238093,0.47619047619047616,0.2857142857142857,0.75,1.5750000000000002,0.10430839002267575,2.0952380952380953,0.5897435897435899
66,frozenset({'The Blacklist'}),frozenset({'Deception'}),0.6428571428571429,0.47619047619047616,0.2857142857142857,0.44444444444444436,0.9333333333333332,-0.020408163265306145,0.9428571428571428,-0.16666666666666685
71,frozenset({'Demon Slayer'}),frozenset({'Daredevil'}),0.47619047619047616,0.38095238095238093,0.2857142857142857,0.6,1.575,0.10430839002267575,1.5476190476190477,0.696969696969697
126,"frozenset({'The Blacklist', 'Family Guy', 'Ozark'})",frozenset({'Atypical'}),0.2857142857142857,0.5714285714285714,0.2619047619047619,0.9166666666666667,1.604166666666667,0.09863945578231295,5.142857142857148,0.5272727272727273
131,"frozenset({'Atypical', 'Family Guy'})","frozenset({'The Blacklist', 'Ozark'})",0.38095238095238093,0.5,0.2619047619047619,0.6875000000000001,1.3750000000000002,0.07142857142857145,1.6000000000000005,0.44055944055944063
130,"frozenset({'The Blacklist', 'Ozark'})","frozenset({'Atypical', 'Family Guy'})",0.5,0.38095238095238093,0.2619047619047619,0.5238095238095238,1.3750000000000002,0.07142857142857145,1.3,0.5454545454545456
